kod_sekolah,name,address,postcode,city,ppd,school_type,latitude,longitude,location
BBD0092,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG VALLAMBROSA,"BATU 7, JALAN KAPAR, KAPAR",42200,KLANG,PPD KLANG,SJK(T),3.100204,101.377677,
BEA0095,SEKOLAH MENENGAH KEBANGSAAN TENGKU IDRIS SHAH,JALAN TAP,42200,KAPAR,PPD KLANG,SMK,3.135741,101.376806,
BEA0100,SEKOLAH MENENGAH KEBANGSAAN RANTAU PANJANG,JALAN KAPAR,42100,KLANG,PPD KLANG,SMK,3.069369,101.410335,
BEA0101,SEKOLAH MENENGAH KEBANGSAAN (P) KAPAR,PERSIARAN HAMZAH ALANG,42200,KAPAR,PPD KLANG,SMK,3.135613,101.381053,
BEA0110,SEKOLAH MENENGAH KEBANGSAAN SUNGAI KAPAR INDAH,"JALAN HARAPAN 3A, TAMAN SUNGAI KAPAR INDAH",42200,"KAPAR, KLANG",PPD KLANG,SMK,3.098388,101.375836,
BEA0114,SEKOLAH MENENGAH KEBANGSAAN BUKIT KAPAR,"LOT 5274 & 5275 JALAN ABDUL WAHID, DESA BUKIT PERMATA, KU11 BUKIT KAPAR",42200,KAPAR,PPD KLANG,SMK,3.162816,101.409756,
BEB0110,SEKOLAH MENENGAH KEBANGSAAN MERU,"BATU 7, PEKAN MERU",41050,KLANG,PPD KLANG,SM + SR (Model Khas),3.139622,101.439746,
BFT0003,SAM NURUL IMAN,KAMPUNG BUKIT CHERAKAH,41050,KLANG,PPD KLANG,SM Agama (SABK),3.178421,101.454711,
BBA0004,SEKOLAH KEBANGSAAN TELOK MENEGON,"BATU 3, JALAN KOTA RAJA",41000,KLANG,PPD KLANG,SK,3.031078,101.475631,
BBA0005,SEKOLAH KEBANGSAAN BUKIT NAGA,"BATU 6, KG. BUKIT NAGA, SEKSYEN 32",40460,SHAH ALAM,PPD KLANG,SK,3.003152,101.504567,
BBA0006,SEKOLAH KEBANGSAAN JALAN KEBUN,"BATU 7 1/2 JALAN KEBUN, SEKSYEN 30",40460,SHAH ALAM,PPD KLANG,SK,2.973031,101.518007,
BBA0015,SEKOLAH KEBANGSAAN BUKIT KUDA,JALAN LANDASAN,41300,KLANG,PPD KLANG,SK,3.045835,101.461191,
BBA0033,SEKOLAH KEBANGSAAN KAMPUNG JAWA,"JALAN KOTA RAJA, KAMPUNG JAWA",41000,KLANG,PPD KLANG,SK,3.026465,101.463111,
BBA0037,SEKOLAH KEBANGSAAN BUKIT KEMUNING 2,"LOT N0 4, JALAN ANGGERIK DORITIS 31/143",40460,SHAH ALAM,PPD KLANG,SK,2.983893,101.54097,
BBA0040,SEKOLAH KEBANGSAAN KOTA KEMUNING,"JALAN ANGGERIK ARANDA 31/8, KOTA KEMUNING",40460,SHAH ALAM,PPD KLANG,SK,2.996389,101.547397,
BBA0041,SEKOLAH KEBANGSAAN KAMPUNG JAWA 2,JALAN KOTA RAJA,41000,KLANG,PPD KLANG,SK,3.024501,101.466222,
BBA0043,SEKOLAH KEBANGSAAN BUKIT RIMAU,"11 PERSIARAN SUNGAI SELANGOR, SEKSYEN 32",40460,SHAH ALAM,PPD KLANG,SK,2.992115,101.527004,
BBB0027,SEKOLAH KEBANGSAAN CONVENT (1),112 JALAN TENGKU KELANA,41000,KLANG,PPD KLANG,SRK,3.037693,101.444869,
BBB0028,SEKOLAH KEBANGSAAN CONVENT (2),"112, JALAN TENGKU KELANA",41000,KLANG,PPD KLANG,SRK,3.037763,101.444896,
BBB0036,SEKOLAH KEBANGSAAN PEREMPUAN BUKIT KUDA,JALAN LANDASAN,41300,KLANG,PPD KLANG,SRK,3.045911,101.459881,
BBC0040,SEKOLAH JENIS KEBANGSAAN (CINA) PEREMPUAN,"95A, JALAN KOTA RAJA",41000,KLANG,PPD KLANG,SJK(C),3.038623,101.453753,
BBC0042,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HUA,"NO1A, PERSIARAN ANGGERIK ERIA, SEC 31, KOTA KEMUNING",40460,SHAH ALAM,PPD KLANG,SJK(C),2.988307,101.534036,
BBC0046,SEKOLAH JENIS KEBANGSAAN (CINA) KHE BENG,"PERSIARAN KEMUNING PRIMA, SEKSYEN 32",40460,KLANG,PPD KLANG,SJK(C),3.016968,101.528279,
BBC0051,SEKOLAH JENIS KEBANGSAAN (CINA) PIN HWA (1),"2, PERSIARAN SETIA MURNI,SETIA ALAM, SEKSYEN U13",40170,SHAH ALAM,PPD KLANG,SJK(C),3.114023,101.450963,
BBC0059,SEKOLAH JENIS KEBANGSAAN (CINA) PIN HWA (2),P.T. 51544 AMAN PERDANA,41050,KLANG,PPD KLANG,SJK(C),3.097844,101.407168,
BBC0060,SEKOLAH JENIS KEBANGSAAN (CINA) TAMAN RASHNA,JALAN BATU TIGA LAMA,41300,KLANG,PPD KLANG,SJK(C),3.054553,101.472996,
BBD0060,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BATU AMPAT,JALAN KOTA RAJA,41000,KLANG,PPD KLANG,SJK(T),3.011209,101.487634,
BBD0072,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG EMERALD,"BATU 8, JALAN KAMPUNG JAWA",42450,KLANG,PPD KLANG,SJK(T),3.018031,101.534369,
BBD0093,SEKOLAH JENIS KEBANGSAAN (TAMIL) TAMAN SENTOSA,"LORONG HULUBALANG, 10D/KS 07, TAMAN SENTOSA",41200,KLANG,PPD KLANG,SJK(T),2.996349,101.482319,
BEA0096,SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL SAMAD,"JALAN LANDASAN, BUKIT KUDA",41300,KLANG,PPD KLANG,SMK,3.045627,101.458961,
BEA0099,KOLEJ TINGKATAN ENAM SRI ISTANA,JALAN ISTANA,41000,KLANG,PPD KLANG,Kolej Tingkatan 6,3.034432,101.447164,
BEA0105,SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN,BATU 7 JALAN KEBUN SEKSYEN 32,40460,SHAH ALAM,PPD KLANG,SMK,2.981325,101.507875,
BEA0106,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG JAWA,JALAN RAJA NONG,41000,KLANG,PPD KLANG,SMK,3.025925,101.464735,
BEA0108,SEKOLAH MENENGAH KEBANGSAAN KOTA KEMUNING,"LOT 4, JLN ANGGERIK DORITIS 31/143, KOTA KEMUNING",40460,SHAH ALAM,PPD KLANG,SMK,2.9848,101.540916,
BEA0111,SEKOLAH MENENGAH KEBANGSAAN SHAHBANDARAYA,JALAN RAJA NONG,41000,KLANG,PPD KLANG,SMK,3.024135,101.464591,
BEB0100,SEKOLAH MENENGAH JENIS KEBANGSAAN CHUNG HWA,"1, JALAN NAGASARI 36/10, SEKSYEN 36",40470,SHAH ALAM,PPD KLANG,SMK,3.024236,101.487304,
BEB0101,SEKOLAH MENENGAH KEBANGSAAN CONVENT,"112, JALAN TENGKU KELANA",41000,KLANG,PPD KLANG,SMK,3.038405,101.44483,
BEB0106,SEKOLAH MENENGAH KEBANGSAAN (P) BUKIT KUDA,JALAN PERAK,41300,KLANG,PPD KLANG,SMK,3.0447,101.457467,
BRA0001,KOLEJ ISLAM SULTAN ALAM SHAH,"JALAN KOTA RAJA, KAMPUNG JAWA",41906,KLANG,PPD KLANG,SM Berasrama Penuh,3.034815,101.452316,
BBA0003,SEKOLAH KEBANGSAAN PELABUHAN KELANG,JALAN SEKOLAH,42000,PELABUHAN KLANG,PPD KLANG,SK,3.000438,101.400708,
BBA0013,SEKOLAH KEBANGSAAN PULAU INDAH,"JALAN DATO' HARUN, PULAU INDAH",42920,PELABUHAN KLANG,PPD KLANG,SK,2.935011,101.318848,
BBA0016,SEKOLAH KEBANGSAAN KG RAJA UDA,"JALAN KENANGA, KG RAJA UDA",42000,PELABUHAN KLANG,PPD KLANG,SK,3.016993,101.409388,
BBA0017,SEKOLAH KEBANGSAAN PANDAMARAN JAYA,"JALAN 12, PANDAMARAN JAYA",42000,PELABUHAN KLANG,PPD KLANG,SK,3.006152,101.423006,
BBA0021,SEKOLAH KEBANGSAAN KG PENDAMAR,KAMPUNG PENDAMAR,41200,KLANG,PPD KLANG,SK,2.979072,101.4299913,
BBA0022,SEKOLAH KEBANGSAAN TELOK GONG,"KG NELAYAN, TELOK GONG",42000,PELABUHAN KLANG,PPD KLANG,SK,2.964471,101.385376,
BBA0028,SEKOLAH KEBANGSAAN PELABUHAN UTARA,BANDAR BARU SULTAN SULEIMAN,42000,PELABUHAN KLANG,PPD KLANG,SK,3.032274,101.379941,
BBA0031,SEKOLAH KEBANGSAAN KAMPUNG IDAMAN,JALAN IDAMAN 17,42000,PELABUHAN KLANG,PPD KLANG,SK,2.99336,101.427333,
BBA0042,SEKOLAH KEBANGSAAN PULAU INDAH (2),"BANDAR ARMADA PUTRA, PULAU INDAH",42920,PELABUHAN KLANG,PPD KLANG,SK,2.9785843,101.3450595,
BBB0032,SEKOLAH KEBANGSAAN METHODIST,JALAN ORKID,42000,PELABUHAN KLANG,PPD KLANG,SK,3.01439,101.407129,
BBB0034,SEKOLAH KEBANGSAAN ( 1 ) TENGKU BENDAHARA AZMAN ,"LORONG SABAH, PANDAMARAN",42000,PELABUHAN KLANG,PPD KLANG,SRK,3.008919,101.408553,
BBB0035,SEKOLAH KEBANGSAAN (2 )TENGKU BENDAHARA AZMAN ,"LORONG SABAH, PANDAMARAN",42000,PELABUHAN KLANG,PPD KLANG,SRK,3.00905,101.408174,
BBB0039,SEKOLAH KEBANGSAAN ST ANNE'S CONVENT,PERSIARAN RAJA MUDA MUSA,42000,PELABUHAN KLANG,PPD KLANG,SK,3.008753,101.404338,
BBC0044,SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIEN,"JALAN SEKOLAH,PULAU KETAM",42940,PELABUHAN KLANG,PPD KLANG,SJK(C),3.022765,101.254127,
BBC0045,SEKOLAH JENIS KEBANGSAAN (CINA) KENG CHEE,"BAGAN TEOCHEW,PULAU KETAM",42940,PELABUHAN KLANG,PPD KLANG,SJK(C),3.019797,101.244869,
BBC0048,SEKOLAH JENIS KEBANGSAAN (CINA) LEE MIN,KAMPUNG TELOK GONG,42000,PELABUHAN KLANG,PPD KLANG,SJK(C),2.959532,101.388833,
BBC0049,SEKOLAH JENIS KEBANGSAAN (CINA) PANDAMARAN 'A',JALAN BESAR,42000,PELABUHAN KLANG,PPD KLANG,SJK(C),3.006638,101.412134,
BBC0050,SEKOLAH JENIS KEBANGSAAN (CINA) PANDAMARAN 'B',JALAN YOUNG PANDAMARAN,42000,PELABUHAN KLANG,PPD KLANG,SJK(C),3.011829,101.419875,
BBC0053,SEKOLAH JENIS KEBANGSAAN (CINA) SIN BIN,"SUNGAI LIMA, PULAU KETAM",42940,PELABUHAN KLANG,PPD KLANG,SJK(C),3.040725,101.277199,
BBC0056,SEKOLAH JENIS KEBANGSAAN (CINA) TSHING NIAN,"25, JALAN TENGKU BADAR",42000,PELABUHAN KLANG,PPD KLANG,SJK(C),3.006591,101.39654,
BBC0057,SEKOLAH JENIS KEBANGSAAN (CINA) WU TECK,"PERSIARAN DELIMA 3, BANDAR PARKLANDS",41200,KLANG,PPD KLANG,SJK(C),2.96853,101.4514,
BBD0077,SEKOLAH JENIS KEBANGSAAN (TAMIL) PERSIARAN RAJA MUDA MUSA,JALAN PERSIARAN RAJA MUDA MUSA,42000,PELABUHAN KLANG,PPD KLANG,SJK(T),3.001161,101.401868,
BEA0092,SEKOLAH MENENGAH KEBANGSAAN RAJA LUMU,"JALAN RAJA LUMU, PANDAMARAN",42000,PELABUHAN KLANG,PPD KLANG,SMK,3.015014,101.415458,
BEA0094,SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN JEMAAH,JALAN PANDAMARAN,42000,PELABUHAN KLANG,PPD KLANG,SMK,3.006028,101.406949,
BEA0097,SEKOLAH MENENGAH KEBANGSAAN PULAU INDAH,"LOT 79478, PERSIARAN PULAU LUMUT KM12, SEKSYEN 10",42920,PULAU INDAH,PPD KLANG,SMK,2.944125,101.353623,
BEA0102,SEKOLAH MENENGAH KEBANGSAAN PENDAMARAN JAYA,"JALAN YOUNG, PANDAMARAN",42000,PELABUHAN KLANG,PPD KLANG,SMK,3.006132,101.421841,
BEA0109,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU SULTAN SULEIMAN,LEBUH SULTAN ABDUL SAMAD,42000,PELABUHAN KLANG,PPD KLANG,SMK,3.029238,101.381565,
BEB0108,SEKOLAH MENENGAH KEBANGSAAN DATO HAMZAH,JALAN PANDAMARAN,42000,PELABUHAN KLANG,PPD KLANG,SMK,3.007626,101.407617,
BEB0109,SEKOLAH MENENGAH KEBANGSAAN (P) RAJA ZARINA,PERSIARAN RAJA MUDA MUSA,42000,PELABUHAN KLANG,PPD KLANG,SMK,3.011756,101.409796,
BEB0111,SEKOLAH MENENGAH KEBANGSAAN PULAU KETAM,"PULAU KETAM, PELABUHAN KLANG",42940,PELABUHAN KLANG,PPD KLANG,SMK,3.022638,101.253705,
BBA0002,SEKOLAH KEBANGSAAN TELOK GADONG,JALAN YADI,41250,KLANG,PPD KLANG,SK,3.038647,101.419817,
BBA0018,SEKOLAH KEBANGSAAN KG JOHAN SETIA,JALAN LANGAT,41200,KLANG,PPD KLANG,SK,2.978659,101.490019,
BBA0023,SEKOLAH KEBANGSAAN TAMAN KLANG JAYA,"JALAN SERULING 56, OFF JALAN LANGAT",41200,KLANG,PPD KLANG,SK,3.004153,101.450129,
BBA0025,SEKOLAH KEBANGSAAN TELOK PULAI,TAMAN BERTEK,41100,KLANG,PPD KLANG,SK,3.046313,101.428494,
BBA0026,SEKOLAH KEBANGSAAN SUNGAI UDANG,JALAN YADI,41250,KLANG,PPD KLANG,SK,3.039533,101.418684,
BBA0034,SEKOLAH KEBANGSAAN TAMAN SRI ANDALAS,"JALAN TUN DR. ISMAIL, OFF JALAN LANGAT",41200,KLANG,PPD KLANG,SK,3.018473,101.451806,
BBA0035,SEKOLAH KEBANGSAAN TAMAN GEMBIRA,"JALAN HILIR DUA, TELOK GADONG",41100,KLANG,PPD KLANG,SK,3.036857,101.429877,
BBA0036,SEKOLAH KEBANGSAAN BUKIT TINGGI,BANDAR BUKIT TINGGI,41200,KLANG,PPD KLANG,SK,3.004191,101.440343,
BBA0044,SEKOLAH KEBANGSAAN BATU UNJUR,JALAN BATU NILAM 1/KS 6,41200,KLANG,PPD KLANG,SK,3.011294,101.437152,
BBB0024,SEKOLAH KEBANGSAAN METHODIST ACS,JALAN MELAWIS,41000,KLANG,PPD KLANG,SRK,3.042995,101.439909,
BBB0029,SEKOLAH KEBANGSAAN LA SALLE,"143, PERSIARAN RAJA MUDA MUSA",41200,KLANG,PPD KLANG,SRK,3.032388,101.438858,
BBB0033,SEKOLAH KEBANGSAAN PEREMPUAN METHODIST,JALAN RAYA BARAT,41000,KLANG,PPD KLANG,SRK,3.044927,101.442252,
BBB0037,SEKOLAH KEBANGSAAN (1) SIMPANG LIMA,PERSIARAN RAJA MUDA MUSA,41200,KLANG,PPD KLANG,SRK,3.030768,101.43873,
BBB0038,SEKOLAH KEBANGSAAN (2) SIMPANG LIMA,PERSIARAN RAJA MUDA MUSA,41200,KLANG,PPD KLANG,SRK,3.030733,101.43852,
BBC0041,SEKOLAH JENIS KEBANGSAAN (CINA) CHUEN MIN,"LOT 389, JALAN JAMBU BOL / KS 1, TELOK PULAI",41100,KLANG,PPD KLANG,SJK(C),3.038502,101.431641,
BBC0043,SEKOLAH JENIS KEBANGSAAN (CINA) HIN HUA,"JALAN BATU NILAM, BANDAR BUKIT TINGGI",41200,KLANG,PPD KLANG,SJK(C),3.010336,101.429582,
BBD0074,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HIGHLANDS,"PERSIARAN BATU NILAM 2, BANDAR BUKIT TINGGI 2",41200,KLANG,PPD KLANG,SJK(T),2.992168,101.442609,
BBD0076,SEKOLAH JENIS KEBANGSAAN (TAMIL) JALAN TEPI SUNGAI,JALAN TEPI SUNGAI OFF JALAN LEMBAGA BANDARAN,41000,KLANG,PPD KLANG,SJK(T),3.050385,101.438534,
BBD0084,SEKOLAH JENIS KEBANGSAAN (TAMIL) SIMPANG LIMA,"JALAN LANGAT, TAMAN  SRI  ANDALAS",41200,KLANG,PPD KLANG,SJK(T),3.014797,101.445696,
BEA0091,SEKOLAH MENENGAH KEBANGSAAN RAJA MAHADI,TAMAN KLANG JAYA,41200,KLANG,PPD KLANG,SMK,3.010748,101.447977,
BEA0093,SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN RAHIMAH,PERSIARAN RAJA MUDA MUSA,41200,KLANG,PPD KLANG,SMK,3.032807,101.440123,
BEA0103,SEKOLAH MENENGAH KEBANGSAAN TELOK GADONG,"JALAN SERAMPANG 3, OFF JALAN TELUK PULAI",41100,KLANG,PPD KLANG,SMK,3.03937,101.428614,
BEA0104,SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS,"JALAN SRI DAMAK 10, TAMAN SRI ANDALAS",41200,KLANG,PPD KLANG,SMK,3.019208,101.451702,
BEA0112,SEKOLAH MENENGAH KEBANGSAAN BATU UNJUR,"JALAN NILAM 1, BANDAR BUKIT TINGGI",41200,KLANG,PPD KLANG,SMK,3.011553,101.433915,
BEA0113,SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI KLANG,JALAN BATU NILAM 1,41200,KLANG,PPD KLANG,SMK,3.009844736,101.4287071,
BEB0104,SEKOLAH MENENGAH KEBANGSAAN LA SALLE,PERSIARAN RAJA MUDA MUSA,41200,KLANG,PPD KLANG,SMK,3.031884,101.437889,
BFT0002,SAM HISAMUDDIN,"JALAN TEPI SUNGAI, SUNGAI BERTIH",41100,KLANG,PPD KLANG,SM Agama (SABK),3.047058,101.43776,
BKE0001,KOLEJ VOKASIONAL KLANG,"KM. 3, PERSIARAN TENGKU AMPUAN RAHIMAH",41200,KLANG,PPD KLANG,Kolej Vokasional,3.013376,101.43582,
